# This file should be in the working directory.
#
# Data from
# 'X-ray Data Booklet'
# Thompson, A.C. et al.
# Lawrence Berkeley National Laboratory, University of California, 2009,
# except those marked with *, adapted from 
# 'The Lund/LBNL Nuclear Data Search'
# Version 2.0, February 1999
# S.Y.F. Chu, L.P. Ekström and R.B. Firestone,
# and those marked with %, from fit to previouosly mentioned data.
#
# Photon energies and relative intensities of K-, L-, and M-shell lines, arranged by
# element. An intensity of 100 is assigned to the strongest line in each shell for each element.
#
# Z    Line     E (keV)   Relative intensity (%)
#------------------------------------------------
48 Cd  Kα2      22.984    53 
48 Cd  Kα1      23.174    100 
48 Cd  Kβ3      26.061    9 
48 Cd  Kβ1      26.096    17 
48 Cd  Kβ2      26.644    4 
49 In  Ll       2.904     4 
49 In  Lα2      3.279     11 
49 In  Lα1      3.287     100 
49 In  Lβ1      3.487     58 
49 In  Lβ2,15   3.714     15 
49 In  Lγ1      3.921     6 
49 In  Kα2      24.002    53 
49 In  Kα1      24.21     100 
49 In  Kβ3      27.238    9 
49 In  Kβ1      27.276    17 
49 In  Kβ2      27.861    5 
50 Sn  Ll       3.045     4 
50 Sn  Lα2      3.435     11 
50 Sn  Lα1      3.444     100 
50 Sn  Lβ1      3.663     60 
50 Sn  Lβ2,15   3.905     16 
50 Sn  Lγ1      4.131     7 
50 Sn  Kα2      25.044    53 
50 Sn  Kα1      25.271    100 
50 Sn  Kβ3      28.444    9 
50 Sn  Kβ1      28.486    17 
50 Sn  Kβ2      29.109    5 
51 Sb  Ll       3.189     4 
51 Sb  Lα2      3.595     11 
51 Sb  Lα1      3.605     100 
51 Sb  Lβ1      3.844     61 
51 Sb  Lβ2,15   4.101     17 
51 Sb  Lγ1      4.348     8 
51 Sb  Kα2      26.111    54 
51 Sb  Kα1      26.359    100 
51 Sb  Kβ3      29.679    9 
51 Sb  Kβ1      29.726    18 
51 Sb  Kβ2      30.39     5 
52 Te  Ll       3.336     4 
52 Te  Lα2      3.759     11 
52 Te  Lα1      3.769     100 
52 Te  Lβ1      4.03      61 
52 Te  Lβ2,15   4.302     18 
52 Te  Lγ1      4.571     8 
52 Te  Kα2      27.202    54 
